AUTOR_ID_AUTOR,CONTEUDO
0,teste manual
0,"Claro, posso te ajudar a encontrar a unidade mais próxima de você. Qual é o endereço ou ponto de referência que você prefere? Além disso, é importante lembrar que é necessário levar ou trazer para a avaliação um documento de identificação pessoal e 2 calçados que pretende usar a palmilha com mais frequência."
0,"Entendi, a unidade mais próxima da Avenida Paulista é a Unidade Paulista, localizada na Alameda Ribeirão Preto, 130, São Paulo. Posso agendar um horário para você nesta unidade?"
0,"Entendi, temos outras unidades disponíveis. Além da Unidade Paulista, temos a Unidade Perdizes, localizada na Rua Padre Chico, 221, São Paulo, e a Unidade Moema, na Av. Iraí, 143, São Paulo. Qual dessas unidades seria mais conveniente para você?"
0,"Entendi, para a unidade Perdizes, a próxima data disponível é no dia 16/12/2023, sábado, nos seguintes horários: 08:00, 09:00, 10:00, 11:00. Qual desses horários seria o melhor para você?"
0,"Ótimo! Seu agendamento na unidade Perdizes para o dia 16/12/2023, sábado, às 08:00 está confirmado. O endereço da unidade é Rua Padre Chico, 221, São Paulo. Em caso de dúvidas, estou à disposição."
0,"Bena, fui verificar aqui na agenda mas o horário desejado já havia sido ocupado antes. 😔 Mas não se preocupe, ainda temos opções ótimas para você! Para a Perdizes no dia 16/12/2023, sábado temos as seguintes opções de horário: 

- 08:00
- 09:00
- 10:00
- 11:00.

 Algum deles fica bom para você, ou posso verificar a disponibilidade em outro dia?"
1,"Olá, gostaria de agendar para outra unidade"
1,moro perto da Paulista
1,teria outara unidade pra oferecer?
1,pode ser na Perdizes
1,8
